Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
45,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,838,1777,2016,1
46,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,42,42,2016,1
47,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,408,902,2016,1
48,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2016,1
49,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,285,420,2016,1
1192,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,838,1827,2016,2
1193,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,94,94,2016,2
1194,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,408,1019,2016,2
1195,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2016,2
1196,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,297,468,2016,2
2323,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,838,1827,2016,3
2324,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,94,94,2016,3
2325,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,408,1019,2016,3
2326,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2016,3
2327,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,297,468,2016,3
3453,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,838,1841,2016,4
3454,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,94,94,2016,4
3455,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,408,1019,2016,4
3456,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2016,4
3457,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,297,468,2016,4
4583,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,838,1841,2016,5
4584,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,94,94,2016,5
4585,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,408,1056,2016,5
4586,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2016,5
4587,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,297,468,2016,5
5709,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,838,1841,2016,6
5710,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,94,94,2016,6
5711,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,408,1098,2016,6
5712,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2016,6
5713,IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,297,468,2016,6
0,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,3533,5947,2016,1
1,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1829,2213,2016,1
2,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,,663,1023,2016,1
3,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,,331,357,2016,1
4,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,5408,6561,2016,1
